date_day,start_value,end_value,high_value,low_value
"2014/01/06","15908.88","16147.54","16164.01","15864.44"
"2014/01/07","15814.37","15835.41","15935.37","15784.25"
"2014/01/08","16121.45","15943.68","16121.45","15906.57"
"2014/01/09","15880.33","16002.88","16004.56","15838.44"
"2014/01/10","15912.06","15785.15","15922.14","15754.70"
"2014/01/14","15422.40","15657.20","15661.71","15383.69"
"2014/01/15","15808.73","15649.07","15808.73","15636.57"
"2014/01/16","15747.20","15845.15","15941.08","15710.14"
"2014/01/17","15734.46","15695.46","15783.37","15621.80"
"2014/01/20","15641.68","15724.14","15727.26","15574.23"
"2014/01/21","15795.96","15710.89","15894.68","15705.84"
"2014/01/22","15820.96","15749.01","15870.53","15631.41"
"2014/01/23","15695.89","15900.63","15958.58","15690.45"
"2014/01/24","15391.56","15473.57","15485.02","15288.32"
"2014/01/27","15005.73","15091.45","15109.68","14933.55"
"2014/01/28","14980.16","15038.64","15088.12","14952.83"
"2014/01/29","15383.91","15164.34","15383.91","15159.92"
"2014/01/30","15007.06","15112.70","15112.70","14853.83"
"2014/01/31","14914.53","15132.23","15143.88","14764.57"
"2014/02/03","14619.13","14788.56","14846.93","14615.05"
"2014/02/04","14008.47","14353.33","14355.92","14008.47"
"2014/02/05","14180.38","14213.10","14245.06","13995.86"
"2014/02/06","14155.12","14233.42","14308.07","14155.12"
"2014/02/07","14462.41","14387.11","14471.95","14356.59"
"2014/02/10","14718.34","14647.83","14725.92","14568.30"
"2014/02/12","14800.06","14821.73","14874.79","14769.04"
"2014/02/13","14534.74","14785.84","14787.62","14488.32"
"2014/02/14","14313.03","14538.20","14678.71","14243.17"
"2014/02/17","14393.11","14343.73","14427.95","14214.60"
"2014/02/18","14843.24","14514.47","14900.24","14469.49"
"2014/02/19","14766.53","14729.48","14805.66","14679.19"
"2014/02/20","14449.18","14701.14","14731.48","14428.73"
"2014/02/21","14865.67","14618.61","14888.81","14618.61"
"2014/02/24","14837.68","14803.64","14982.53","14658.14"
"2014/02/25","15051.60","15002.51","15094.54","14957.49"
"2014/02/26","14970.97","14896.49","15084.53","14896.49"
"2014/02/27","14923.11","14939.87","15015.01","14844.37"
"2014/02/28","14841.07","14929.55","14943.65","14735.52"
"2014/03/03","14652.23","14666.93","14684.70","14443.10"
"2014/03/04","14721.48","14553.95","14750.09","14546.34"
"2014/03/05","14897.63","14905.95","14992.19","14897.63"
"2014/03/06","15134.75","14933.76","15203.12","14871.56"
